Datum,TN,TX,RR,TX transformed,TN transformed
2018-11-13,6.8,12.3,8.9,-0.44819005277450574,-0.44819005277450574
2018-11-14,4.7,11.0,0.0,-0.5769757487979035,-0.5769757487979035
2018-11-15,4.2,10.4,0.0,-0.6379607649926544,-0.6379607649926544
2018-11-16,1.6,9.3,0.0,-0.7529189238598626,-0.7529189238598626
2018-11-17,-2.5,5.5,0.0,-1.1969481893889715,-1.1969481893889715
2018-11-18,-3.8,5.8,0.0,-1.158284620154508,-1.158284620154508
2018-11-19,2.2,5.6,0.7,-1.1839721376192665,-1.1839721376192665
2018-11-20,1.7,3.3,0.0,-1.509759230243705,-1.509759230243705
2018-11-21,0.4,1.8,0.0,-1.7649482117773982,-1.7649482117773982
2018-11-22,0.5,1.9,0.0,-1.7464787646948985,-1.7464787646948985
2018-11-23,0.5,3.2,0.0,-1.5254914912800905,-1.5254914912800905
2018-11-24,0.2,3.5,0.0,-1.4787595887919842,-1.4787595887919842
2018-11-25,2.6,5.7,0.0,-1.171084937481101,-1.171084937481101
2018-11-26,-0.3,3.9,0.0,-1.4185079811035455,-1.4185079811035455
2018-11-27,-2.6,2.0,0.0,-1.728246063505729,-1.728246063505729
2018-11-28,-3.1,3.7,0.0,-1.4483526749381743,-1.4483526749381743
2018-11-29,-2.1,3.0,0.0,-1.5574426173157199,-1.5574426173157199
2018-11-30,0.3,1.7,3.0,-1.7836622589954356,-1.7836622589954356
2018-12-01,0.7,6.7,0.0,-1.04669223148975,-1.04669223148975
2018-12-02,3.7,9.6,2.3,-0.7211210326023514,-0.7211210326023514
2018-12-03,7.1,13.6,1.7,-0.3229638865964207,-0.3229638865964207
2018-12-04,2.4,10.1,0.0,-0.6688825585603144,-0.6688825585603144
2018-12-05,-0.9,7.4,0.0,-0.9638796946979532,-0.9638796946979532
2018-12-06,1.3,9.3,1.2,-0.7529189238598626,-0.7529189238598626
2018-12-07,9.2,12.1,7.7,-0.46774203762967903,-0.46774203762967903
